视频网站,,,技术路线,
Level 1,Level 2,Level 3,Level 4,Level 5
电影网页的制作,首页,影视分类,,
,电影搜索页面,搜索结果页面,,
,电影播放页面（详情页面）,评分,,
,,播放功能,,
,,评论,,
,登录页面,手机号登录,手机号验证,
,,邮箱登录,邮箱验证,
,,第三方登录,,
,信息修改页面,,,
,用户注册页面,用户信息,,
管理员界面网页制作,用户管理页面,,,
,电影管理页面,,,
,热门管理界面,,,
,用户记录搜索,,,
,搜索页面,,,
平台功能清单,搜索功能,用户输入信息时，在电影资源中搜索电影名、演员、等,正则表达式、数据库搜索,
,,,,
,,搜索条件,电影名,
,,,类别,
,,,演员,
,,全文搜索功能,接触搜索条件限制、需要程序实现筛选,
,推荐功能,用户登录时根据用户的信息生成推荐清单,协同过滤推荐,
,,,内容推荐,
,,热门电影推荐,电影热度,
,用户管理功能,用户信息管理,,
,,用户注册,,
,,用户登录,,
,,用户评分页面,,
,用户行为,用户播放功能,播放记录信息,
,,,播放记录表,播放时间
,,,,进度
,,,,播放次数
,,用户评论功能,用户评论,
,,电影评分系统,用户行为数据获取,js，网站平台监控
,,,用户行为数据分析,后端数据分析
,二级功能,验证码功能,,
,管理员功能,查看个人信息,,
,,用户管理,,
,,电影管理,电影查询,
,,,电影添加,
,,,电影信息修改,
,,,电影删除,
,,网站页面管理,主页轮播图管理,
,,,页面分类管理,
,,热门管理,影片热度操作,
,,网站说明管理,,
,,用户行为管理,,
待解决问题,网站方向,网站视频播放,需要爬取电影的url链接，下载电影资源过于消耗时间和存储,
,,,爬虫获取电影url,
,,网站主页的设计,网页数量,
,,,网页功能,
,推荐系统,推荐算法的选择,协同过滤推荐算法,
,,,多种推荐算法结合,如果多个推荐算法使用，如何结合
,,用户评分数据获取,现有数据集,
,,,用户评分行为获取,
,,,用户行为量化为评分,
,,相似算法的选择,在协同过滤推荐算法基础下选择不同的相似性算法,
,,推荐结果评价判定,如何裁定推荐结果准确性,
,,,用户的结果判定具有主观性，无法通过数值量化,
,,基于Sparkd的推荐推荐系统,,
